"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"dsgdetr","partial","10","fixed","Fixed","pixelate","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","jpeg_compression","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","sun_glare","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","dust","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","saturate","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","mixed","fixed","Mixed","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","partial","10","mixed","mixed","Mixed","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
